Date,Open,High,Low,Close,Adj Close,Volume
2016-05-20,2890.0,2907.699951,2872.100098,2896.75,2801.690918,13686.0
2016-05-23,2897.0,2900.0,2864.75,2883.949951,2789.310791,13048.0
2016-05-24,2865.300049,2905.0,2865.300049,2893.300049,2798.354004,11207.0
2016-05-25,2924.0,2934.949951,2907.0,2929.25,2833.124268,14531.0
2016-05-26,2924.75,2990.050049,2916.399902,2971.100098,2873.6010739999997,23173.0
2016-05-27,2971.100098,3008.100098,2970.149902,3003.25,2904.696045,19556.0
2016-05-30,3010.0,3105.699951,3005.050049,3093.899902,2992.371338,27859.0
2016-05-31,3104.300049,3124.300049,3070.0,3099.149902,2997.448975,67926.0
2016-06-01,3100.050049,3132.0,3068.649902,3087.300049,2985.987793,51743.0
2016-06-02,3087.300049,3144.0,3060.100098,3137.300049,3034.347168,21880.0
2016-06-03,3152.0,3207.899902,3100.050049,3146.800049,3043.535156,33134.0
2016-06-06,3140.0,3154.0,3090.0,3102.0,3000.205566,15941.0
2016-06-07,3125.0,3146.449951,3111.699951,3127.899902,3025.255371,13686.0
2016-06-08,3130.0,3180.0,3111.800049,3170.399902,3066.36084,11949.0
2016-06-09,3160.0,3170.350098,3072.0,3083.25,2982.0708010000003,25167.0
2016-06-10,3055.0,3111.0,3055.0,3067.449951,2966.789307,14514.0
2016-06-13,3067.449951,3067.449951,3017.5,3039.199951,2939.466064,30161.0
2016-06-14,3036.449951,3039.949951,2990.5,3011.550049,2912.723877,64969.0
2016-06-15,3027.649902,3086.449951,3022.050049,3066.699951,2966.063721,28933.0
2016-06-16,3042.199951,3054.949951,3016.199951,3023.399902,2924.18457,11174.0
2016-06-17,3043.350098,3043.350098,3015.0,3028.199951,2928.827148,11391.0
2016-06-20,3005.850098,3092.0,3005.850098,3048.649902,2948.605957,11943.0
2016-06-21,3055.0,3074.0,3036.5,3048.75,2948.7028809999997,9218.0
2016-06-22,3050.100098,3074.100098,3027.199951,3068.600098,2967.901611,13409.0
2016-06-23,3077.550049,3083.800049,3038.75,3062.699951,2962.195068,9115.0
2016-06-24,3062.699951,3076.0,2956.0,3055.949951,2955.666504,117396.0
2016-06-27,3028.949951,3082.0,3025.0,3054.600098,2954.361084,15771.0
2016-06-28,3080.0,3080.0,3011.0,3025.5,2926.21582,17239.0
2016-06-29,3035.050049,3154.899902,3035.050049,3145.0,3041.794189,34643.0
2016-06-30,3157.0,3222.350098,2987.800049,3180.850098,3076.468018,41156.0
2016-07-01,3185.5,3199.899902,3160.350098,3176.649902,3072.405518,19361.0
2016-07-04,3225.0,3225.0,3146.199951,3161.75,3057.994629,22645.0
2016-07-05,3159.800049,3161.699951,3105.0,3111.5,3009.393799,12485.0
2016-07-07,3111.5,3135.0,3090.699951,3101.300049,2999.52832,16364.0
2016-07-08,3125.0,3170.0,3117.550049,3160.199951,3056.495605,17413.0
2016-07-11,3170.0,3244.199951,3170.0,3236.550049,3130.340088,63863.0
2016-07-12,3250.0,3259.350098,3223.5,3243.75,3137.303711,17364.0
2016-07-13,3250.0,3259.949951,3220.0,3235.550049,3129.373047,11449.0
2016-07-14,3229.0,3271.0,3205.899902,3251.300049,3144.606201,27070.0
2016-07-15,3270.0,3289.0,3220.449951,3237.699951,3131.452148,15744.0
2016-07-18,3253.649902,3291.149902,3240.0,3254.5,3147.701172,21867.0
2016-07-19,3260.0,3261.850098,3208.0,3229.399902,3123.424561,18505.0
2016-07-20,3240.0,3283.0,3235.149902,3276.600098,3169.075928,11684.0
2016-07-21,3300.0,3306.100098,3260.300049,3265.649902,3158.485352,8983.0
2016-07-22,3272.25,3285.850098,3254.050049,3260.350098,3153.3591309999997,6927.0
2016-07-25,3260.350098,3285.5,3250.0,3279.699951,3172.074219,14658.0
2016-07-26,3280.0,3281.0,3173.0,3210.300049,3104.95166,20255.0
2016-07-27,3210.300049,3257.149902,3189.899902,3203.5,3098.3747559999997,9284.0
2016-07-28,3203.600098,3229.449951,3150.0,3192.300049,3087.542236,37140.0
2016-07-29,3190.0,3243.699951,3176.550049,3206.449951,3101.227783,16614.0
2016-08-01,3211.0,3395.0,3200.0,3219.350098,3113.70459,17260.0
2016-08-02,3220.0,3279.0,3201.949951,3260.0,3153.020752,70584.0
